National Banks Active As of 4/30/2025,,,,,,,
,,,,,,,
,,,,,,,
CHARTER NO,NAME,ADDRESS (LOC),CITY,STATE,CERT,RSSD,
24547,"Bessemer Trust Company of Delaware, National Association",20 Montchanin Road,Wilmington,DE,58011,3310287,
25287,"Bessemer Trust Company of Nevada, National Association",1700 South Pavilion Center Drive,Las Vegas,NV,59346,5805479,
16417,"Bessemer Trust Company, National Association","1271 Avenue of the Americas, 46th Floor",New York,NY,21868,976703,
24466,"Beverly Bank & Trust Company, National Association",10258 South Western,Chicago,IL,57701,3216017,
8674,"Big Bend Banks, National Association",301 South Highland Avenue,Marfa,TX,3320,362856,
24798,"Black Hills Community Bank, National Association",840 Mount Rushmore Road,Rapid City,SD,58723,3636428,
22121,"BlackRock Institutional Trust Company, National Association",400 Howard Street,San Francisco,CA,32961,1444021,
23903,"Blue Ridge Bank, National Association",1 East Market Street,Martinsville,VA,35274,233527,
14583,BMO Bank National Association,320 South Canal Street,Chicago,IL,16571,75633,
24536,BMO Harris Central National Association,110 East Irving Park Road,Roselle,IL,58216,3353154,
24224,BNC National Bank,20175 North 67th Avenue,Glendale,AZ,57197,2358769,
6301,"BNY Mellon, National Association","One Mellon Bank Center, 500 Grant Street",Pittsburgh,PA,7946,934329,
13679,"BOKF, National Association",Bank of Oklahoma Tower,Tulsa,OK,4214,339858,
20184,"Bonvenu Bank, National Association",2711 East Texas Street,Bossier City,LA,26381,594853,
17383,Brazos National Bank,2300 Brazosport Blvd.,Richwood,TX,24038,863362,
23290,"Bremer Bank, National Association","Lawson Building, 372 St. Peter Street",St. Paul,MN,12923,800657,
14447,Broadway National Bank,1177 N.E. Loop 410,San Antonio,TX,15797,474254,
24944,"Brown Brothers Harriman Trust Company of Delaware, NA",4250 Lancaster Pike,Wilmington,DE,59025,4032791,
24429,"Brown Brothers Harriman Trust Company, National Association",140 Broadway,New York,NY,25824,931207,
14479,Buena Vista National Bank,1309 Swanwick,Chester,IL,10844,621441,
18242,"C3bank, National Association","850 S. Coast Hwy 101, Suite 1",Encinitas,CA,25249,754068,
24100,"California Bank of Commerce, National Association","12265 El Camino Real, Suite 100",San Diego,CA,57044,3076453,
24577,"California International Bank, A National Banking Association",15606 Brookhurst St.,Westminster,CA,57974,3394380,
24936,Canandaigua National Trust Company of Florida,1586 Main Street,Sarasota,FL,58999,3952904,
23850,"Capital Bank, National Association",2275 Research Blvd.,Rockville,MD,35278,2808602,
13688,"Capital One, National Association",1680 Capital One Drive,McLean,VA,4297,112837,
17525,Capitol National Bank,200 Washington Square North,Lansing,MI,24199,285544,
25272,"Carthage Savings and Loan, National Association",313 State St,Carthage,NY,28942,900678,
412,Cayuga Lake National Bank,3 Cayuga Street,Union Springs,NY,6954,63201,
23323,Cedar Hill National Bank,8100 Denmark Road,Charlotte,NC,34478,2651899,
7524,"Cendera Bank, National Association",615 East Bells Boulevard,Bells,TX,3098,89957,
20448,Center National Bank,301 N. Ramsey Avenue,Litchfield,MN,10976,1017957,
4284,Central National Bank,802 N. Washington,Junction City,KS,4702,234355,
16626,Central National Bank,8320 U.S. Highway 84 West,Waco,TX,22396,428060,
24310,"Cetera Trust Company, National Association",400 Robert Street North,St. Paul,MN,57405,3089752,
25137,"CFBank, National Association",4960 E. Dublin Granville Rd. Suite 400,Columbus,OH,28263,767974,
24755,"Chain Bridge Bank, National Association",1445-A Laughlin Avenue,Mclean,VA,58595,3597211,
9405,Champlain National Bank,"Main and William Streets, 7558 Court Street",Elizabethtown,NY,7356,126012,
23158,Chester National Bank,1112 State Street,Chester,IL,30220,231279,
25215,"Chilton Trust Company, National Association",396 Royal Palm Way,Palm Beach,FL,59255,4397164,
23950,"Chino Commercial Bank, National Association",14245 Pipeline Avenue,Chino,CA,35366,2925620,
24106,CIBC National Trust Company,"3290 Northside Parkway, 7th Floor",Atlanta,GA,91325,975751,
1461,"Citibank, N.A.",5800 S Corporate Place,Sioux Falls,SD,7213,476810,
18410,"Citicorp Trust Delaware, National Association","20 Montchanin Road, Suite 180",Greenville,DE,25677,449038,
24571,"Citizens Bank, National Association",One Citizens Plaza,Providence,RI,57957,3303298,
23834,"Citizens Bank, National Association",4201 South Treadaway Boulevard,Abilene,TX,12309,617051,
25088,Citizens Community Federal National Association,219 Fairfax Street,Altoona,WI,57265,962890,
16076,Citizens National Bank,200 Forks of River Parkway,Sevierville,TN,20954,717737,
5484,Citizens National Bank,118 South Houston Street,Cameron,TX,3127,59352,
17456,Citizens National Bank,1320 East Loop 304,Crockett,TX,24085,700252,
14273,Citizens National Bank at Brownwood,1 Carnegie,Brownwood,TX,14779,233358,
14435,Citizens National Bank of Albion,10 West Elm Street,Albion,IL,15760,853747,
13522,Citizens National Bank of Cheboygan,303 N. Main Street,Cheboygan,MI,5018,773742,
8515,Citizens National Bank of Crosbyton,202 W. Main,Crosbyton,TX,3158,901451,
13516,Citizens National Bank of Texas,200 N. Elm Street,Waxahachie,TX,5574,552161,
22968,"City First Bank, National Association","1432 U Street, N.W.",Washington,DC,34352,2697963,
14695,City National Bank,555 South Flower Street,Los Angeles,CA,17281,63069,
17652,City National Bank,1465 West Second Avenue,Corsicana,TX,24367,697950,
15977,City National Bank of Florida,25 West Flagler Street,Miami,FL,20234,814430,
14807,City National Bank of West Virginia,"3601 Mccorkle Avenue, S.E.",Charleston,WV,17735,1011526,
15649,"Clare Bank, National Association",345 West Pine,Platteville,WI,1022,988144,
13731,"Classic Bank, National Association",102 N. Houston,Cameron,TX,3126,182951,
3248,"Clear Fork Bank, National Association",100 S. Main,Albany,TX,3067,340751,
14347,"CNB Bank & Trust, National Association",West Side Square,Carlinville,IL,3775,613343,
24861,Coastal Carolina National Bank,"1012 38th Avenue North, Suite 100",Myrtle Beach,SC,58864,3821822,
24626,Column National Association,"1717 Mangrove Avenue, Suite 100",Chico,CA,58224,3435948,
21527,"Comerica Bank & Trust, National Association","101 North Main Street, Suite 200",Ann Arbor,MI,1596,772446,
14371,"Commercial Bank of Texas, National Association",215 E. Main Street,Nacogdoches,TX,1209,885869,
15257,Commercial National Bank of Texarkana,5515 Summerhill Road,Texarkana,TX,19024,794149,
16553,Commonwealth National Bank,2214 St. Stephens Road,Mobile,AL,22229,578237,
8531,"Community Bank, National Association",45-49 Court Street,Canton,NY,6989,202907,
7518,"Community First Bank, National Association",118 East Lima Street,Forest,OH,6584,579319,
24080,Community First National Bank,215 S. Seth Child,Manhattan,KS,35585,2907019,
18394,Community National Bank,210 Main Street,Seneca,KS,25665,354552,
18054,Community National Bank,500 West Illinois,Midland,TX,24897,293053,
1368,Community National Bank,4811 US Route 5,Derby,VT,6271,270504,
21389,Community National Bank & Trust,14 North Lincoln,Chanute,KS,27046,923752,
14898,Community National Bank & Trust of Texas,321 North 15th Street,Corsicana,TX,18185,738769,
15389,Community National Bank in Monmouth,311 North Main Street,Monmouth,IL,19230,775241,
18233,Community National Bank of Okarche,653 North Main Highway 81,Okarche,OK,25161,371559,
23148,"Computershare Trust Company, National Association",150 Royall Street,Canton,MA,34629,2600039,
23664,"Connecticut Community Bank, National Association",605 West Avenue,Norwalk,CT,34876,2756909,
15543,Consumers National Bank,614 East Lincoln Way,Minerva,OH,19482,477321,
24114,Cornerstone National Bank & Trust Company,One West Northwest Highway,Palatine,IL,57061,2929392,
23771,Cortrust Bank National Association,100 E. Havens & Main,Mitchell,SD,6063,61355,
14062,County National Bank,One South Howell Street,Hillsdale,MI,14073,682143,
22594,Credit First National Association,6275 Eastland Road,Brook Park,OH,33855,2122997,
20291,"Credit One Bank, National Association",6801 South Cimarron Road,Las Vegas,NV,25620,639567,
23574,"Crystal Lake Bank & Trust Company, National Association",70 North Williams Street,Crystal Lake,IL,34681,2624400,
10254,Cumberland Valley National Bank & Trust Company,100 South Main Street,London,KY,2691,647218,
24604,"Dakota Community Bank & Trust, National Association",609 Main Street,Hebron,ND,15728,815156,
15980,"Dallas Capital Bank, National Association","14185 Dallas Parkway, Suite 200",Dallas,TX,20727,384652,
25237,Dayforce National Trust Bank,3311 East Old Shakopee Road,Minneapolis,MN,59337,5805817,
23852,"Desjardins Bank, National Association",1001 East Hallandale Beach Boulevard,Hallandale,FL,33565,1940747,
18608,Deutsche Bank National Trust Company,1999 Avenue of the Stars,Los Angeles,CA,26732,670560,
24452,"Deutsche Bank Trust Company, National Association",1 Columbus Circle,New York,NY,34056,2325882,
12877,DNB National Bank,305 Fourth Street West,Clear Lake,SD,3977,401559,
24249,Douglas National Bank,211 East Ward Street,Douglas,GA,57230,3049635,
8114,"Dream First Bank, National Association",11 North Main Street,Syracuse,KS,4779,543459,
23097,DSRM National Bank,"5600 Wyoming Blvd, NE, Suite 275",Albuquerque,NM,34331,2502825,
18431,"Eastbank, National Association",183 Centre Street,New York,NY,25749,98717,
15748,Eastern National Bank,9700 South Dixie Highway,Miami,FL,20026,171133,
23329,Edison National Bank,13000 South Cleveland Avenue,Fort Myers,FL,34489,2594419,
24493,EH National Bank,9420 Wilshire Boulevard,Beverly Hills,CA,57734,3320576,
3855,"Elevate Bank, National Association",101 West Main Street,Sedan,KS,4770,195157,
24679,Embassy National Bank,1817 North Brown Road,Lawrenceville,GA,58413,3482045,
25125,"Esquire Bank, National Association","100 Jericho Quadrangle, Suite 100",Jericho,NY,58140,3447820,
11583,"Evans Bank, National Association",8599 Erie Rd,Angola,NY,6947,292908,
25290,"EverBank, National Association","301 West Bay Street, 25th Floor",Jacksonville,FL,34775,2735146,
24907,"Evercore Trust Company, National Association","300 Delaware Avenue, Suite 1225",Wilmington,DE,58927,3939240,
17000,Evergreen National Bank,28145 Colorado Highway 74,Evergreen,CO,23404,427858,
13778,"Extraco Banks, National Association",18 South Main Street,Temple,TX,5551,537560,
24356,"F&M Community Bank, National Association",100 St. Anthony Street North,Preston,MN,10967,171759,
24373,Falcon National Bank,183 Cedar Drive,Foley,MN,57603,3184228,
6375,Farmers National Bank,114 West 3rd Street,Prophetstown,IL,3732,933041,
11933,Farmers National Bank,759 State Street,Phillipsburg,KS,4611,137559,
14466,Farmers National Bank of Griggsville,112 West Quincy Street,Griggsville,IL,15928,166849,
5629,"FCN Bank, National Association",501 Main Street,Brookville,IN,4319,321947,
25188,"Fidelity Bank, National Association",100 East English Street,Wichita,KS,30895,762474,
25190,"Fifth Third Bank, National Association",38 Fountain Square Plaza,Cincinnati,OH,6672,723112,
24719,Finemark National Bank & Trust,8695 College Parkway,Fort Myers,FL,58486,3547131,
6769,"First & Farmers National Bank, Inc.",2020 South US 27,Somerset,KY,2738,721949,
14564,"First Bankers Trust Company, National Association",1201 Broadway,Quincy,IL,16501,344647,
24169,"First Century Bank, National Association",1731 N. Elm Street,Commerce,GA,57123,2997748,
5263,First Citizens National Bank,200-206 West Court Street,Dyersburg,TN,4972,133850,
17862,"First Commercial Bank, National Association",1336 East Court Street,Seguin,TX,24603,400365,
24120,"First Community Trust, National Association","3385 Hillcrest Road, Suite 100",Dubuque,IA,57179,2973041,
2068,First Dakota National Bank,225 Cedar Street,Yankton,SD,4028,441256,
22351,First Farmers & Merchants National Bank,114 South Park,Fairmont,MN,33131,1470150,
13544,First Farmers & Merchants National Bank,303 E. Main,Luverne,MN,5186,917854,
25025,"First Federal Community Bank, National Association",141 West Ohio Avenue,Dover,OH,29787,540775,
47,"First Financial Bank, National Association",One First Financial Plaza,Terre Haute,IN,4382,693345,
21882,"First Financial Trust, National Association",351 Main Street,Wakefield,MA,27479,1369870,
10118,"First Hope Bank, A National Banking Association",Union and High Streets,Hope,NJ,6354,434203,
10045,"First Mid Bank & Trust, National Association",1515 Charleston Avenue,Mattoon,IL,3705,762447,
16579,First National Bank,341 Military Street South,Hamilton,AL,22271,330239,
10004,First National Bank,200 West Court Street,Paragould,AR,3887,42448,
10465,First National Bank,302 South Main Street,Cloverdale,IN,4324,60648,
446,First National Bank,223 Main Street,Damariscotta,ME,4256,439404,
6813,First National Bank,31 Central Street East,Bagley,MN,5087,392255,
7647,First National Bank,101 West Lake Street,Chisholm,MN,5113,371755,
14786,First National Bank,414 10th Street,Alamogordo,NM,17643,823450,
9888,First National Bank,400 E 1st,Heavener,OK,4111,195456,
14252,First National Bank,307 Hustan Avenue,Fort Pierre,SD,14712,355858,
21793,First National Bank,141 East Main Street,Oldham,SD,25894,944355,
23182,First National Bank,118 North Garfield,Rotan,TX,34455,2490285,
20078,First National Bank,3801 Fairway Boulevard,Wichita Falls,TX,26543,375566,
9295,First National Bank,622 Broad Street,Altavista,VA,6811,979629,
3806,First National Bank & Trust,233 South Stephenson Avenue,Iron Mountain,MI,5062,251558,
9952,First National Bank & Trust,2714 West Third Street,Elk City,OK,4086,114457,
1926,First National Bank & Trust Company,2 Kelli Court,Clinton,IL,3639,32234,
5052,First National Bank & Trust Company of McAlester,235 East Choctaw,McAlester,OK,4145,830355,
12072,First National Bank Alaska,101 West 36th Avenue,Anchorage,AK,16130,114260,
10697,First National Bank and Trust,111 South Main Street,Atmore,AL,2779,670430,
3601,First National Bank and Trust,225 State Street,Phillipsburg,KS,4756,183958,
8029,First National Bank and Trust Co. of Bottineau,424 Main Street,Bottineau,ND,3902,974558,
13677,First National Bank and Trust Company of Ardmore,405 West Main Street,Ardmore,OK,4037,984258,
2477,First National Bank and Trust Company of Weatherford,220 Palo Pinto Street,Weatherford,TX,5575,614368,
6030,First National Bank Colorado,535 Bent Avenue,Las Animas,CO,3034,513256,
13329,First National Bank in Cimarron,Canal and Main,Cimarron,KS,4638,677354,
14168,First National Bank in DeRidder,1003 North Pine Street,DeRidder,LA,14427,480433,
11916,First National Bank in Frankfort,124 North Kansas,Frankfort,KS,4668,923350,
14370,First National Bank in Fredonia,730 Madison,Fredonia,KS,13798,844455,
14294,First National Bank in New Bremen,435 South Washington Street,New Bremen,OH,14836,204826,
14217,First National Bank in Olney,101 East Main Street,Olney,IL,14567,412845,
13557,First National Bank in Ord,"1411 ""m"" Street",Ord,NE,5460,850054,
10637,First National Bank in Philip,103 East Oak Street,Philip,SD,3999,538754,
13975,First National Bank in Pinckneyville,210 South Main Street,Pinckneyville,IL,13813,340443,
14821,First National Bank in Port Lavaca,1101 Highway 35 Bypass South,Port Lavaca,TX,17811,855264,
14769,First National Bank in Taylorville,322 West Main Cross,Taylorville,IL,17572,177443,
14150,First National Bank in Tigerton,Cedar and Ash Streets,Tigerton,WI,14400,74449,
1794,First National Bank Minnesota,226 West Nassau Street,St. Peter,MN,5247,197759,
8476,First National Bank North,P.O. Box 520,Walker,MN,5269,805755,
14740,First National Bank of America,"241 East Saginaw, Suite 101",East Lansing,MI,17438,413141,
7337,First National Bank of Anderson,1071 Highway 90 South,Anderson,TX,3075,362155,
13675,First National Bank of Bosque County,P.O. Box 278,Valley Mills,TX,5564,198961,
14993,First National Bank of Brookfield,9136 Washington Avenue,Brookfield,IL,18564,465038,
17001,First National Bank of Burleson,899 Northeast Alsbury,Burleson,TX,23430,240954,
5850,First National Bank of Central Texas,1835 North Valley Mills Drive,Waco,TX,3325,369659,
15284,First National Bank of Clarksdale,402 East Second Street,Clarksdale,MS,19070,11640,
22327,First National Bank of Coffee County,420 South Madison Avenue,Douglas,GA,33506,1892154,
11312,First National Bank of Commerce,206 West Main Street,Walnut Ridge,AR,3896,799948,
24458,First National Bank of Decatur County,819 East Shotwell Street,Bainbridge,GA,57694,3232370,
20026,First National Bank of Dublin,825 North Patrick,Dublin,TX,26228,648550,
5288,First National Bank of East Texas,206 U. S. Highway 271 North ,Gilmer,TX,3218,445955,
13637,First National Bank of Eastern Arkansas,101 North Washington Street,Forrest City,AR,3863,251745,
14842,First National Bank of Fort Stockton,1000 W. Dickinson Blvd.,Fort Stockton,TX,17913,397456,
4410,First National Bank of Giddings,108 E. Austin,Giddings,TX,3217,324153,
15158,First National Bank of Gillette,319 South Gillette Avenue,Gillette,WY,18880,890050,
15572,First National Bank of Griffin,318 South Hill Street,Griffin,GA,169,563233,
23692,First National Bank of Hereford,301 West Third Street,Hereford,TX,34918,2759629,
4208,First National Bank of Huntsville,1300 11th Street,Huntsville,TX,3269,583352,
6101,First National Bank of Kansas,600 N. 4th Street,Burlington,KS,4794,614256,
2592,First National Bank of Kentucky,604 Highland Avenue,Carrollton,KY,2735,907444,
15171,First National Bank of Lake Jackson,122 West Way,Lake Jackson,TX,18895,560353,
12523,First National Bank of Louisiana,128 North Parkerson Avenue,Crowley,LA,4288,575834,
4076,First National Bank of McGregor,401 South Main,Mc Gregor,TX,3330,895055,
24637,First National Bank of Michigan,348 West Michigan Avenue,Kalamazoo,MI,58259,3404467,
14436,First National Bank of Nokomis,122 West State Street,Nokomis,IL,15763,330248,
11397,First National Bank of Oklahoma,10900 Hefner Pointe Drive,Oklahoma City,OK,4211,525053,
209,First National Bank of Omaha,1601 Capitol Avenue,Omaha,NE,5452,527954,
13478,First National Bank of Pana,306 South Locust Street,Pana,IL,3720,860147,
20976,First National Bank of Pasco,13315 US Highway 301 South,Dade City,FL,26829,82033,
249,First National Bank of Pennsylvania,166 Main Street,Greenville,PA,7888,379920,
14619,First National Bank of Pulaski,206 South First Street,Pulaski,TN,15572,972732,
7087,First National Bank of River Falls,104 East Locust Street,River Falls,WI,5364,956255,
14680,First National Bank of Scotia,201 Mohawk Avenue,Scotia,NY,11501,472616,
10680,First National Bank of South Carolina,801 Gilway Street,Holly Hill,SC,2107,347022,
18063,First National Bank of South Padre Island,709 Padre Blvd.,South Padre Island,TX,24902,346566,
14437,First National Bank of Steeleville,400 West Broadway,Steeleville,IL,1049,129349,
15550,First National Bank of Tennessee,214 East Main Street,Livingston,TN,19502,283737,
14882,First National Bank of Wauchula,406 N 6th Avenue,Wauchula,FL,18136,89135,
5674,First National Bank of Winnsboro,315 North Main,Winnsboro,TX,5590,501767,
5750,First National Bank Texas,901 East Central Texas Expressway,Killeen,TX,3285,613950,
16473,First National Bank USA,13386 Highway 90,Boutte,LA,22046,714839,
10408,"First National Bank, Ames, Iowa",405 Fifth Street,Ames,IA,1545,820048,
14833,"First National Bank, Cortez",2258 East Main Street,Cortez,CO,17872,968155,
18278,First National Bankers Bank,7813 Office Park Boulevard,Baton Rouge,LA,25247,734538,
16487,First National Community Bank,701 North 3rd Avenue,Chatsworth,GA,22092,450632,
11412,First National Community Bank,109 East Second Street,New Richmond,WI,5357,23755,
24475,First National Trust Company,One F.N.B. Boulevard,Hermitage,PA,57793,3229875,
13682,"First Neighbor Bank, National Association",201 North Meridian,Toledo,IL,3747,413646,
8752,First Pioneer National Bank,145 West Fourth Street,Wray,CO,3063,357553,
23393,"First Robinson Savings Bank, National Association",501 East Main Street,Robinson,IL,28105,660271,
1493,First Southern National Bank,27 Public Square,Lancaster,KY,2700,702612,
7045,First Texas National Bank,124 South Main Street,Floydada,TX,3197,393252,
14005,First Texoma National Bank,220 West Main Street,Durant,OK,13905,388155,
9480,First United National Bank,Routes 157 and 208,Fryburg,PA,7886,127224,
13934,First-Lockhart National Bank,111 South Main Street,Lockhart,TX,13599,631150,
25282,"Flagstar Bank, National Association",102 Duffy Avenue,Hicksville,NY,32541,694904,
20214,"Florida Capital Bank, National Association","10151 Deerwood Park Blvd, Building 100, Suite 200-A",Jacksonville,FL,26323,188430,
24349,"Forcht Bank, National Association",2404 Sir Barton Way,Lexington,KY,57415,3141726,
14566,Forest Park National Bank and Trust Company,7348 West Madison Street,Forest Park,IL,15945,926632,
14546,"FSNB, National Association",1420 Southwest Lee Boulevard,Lawton,OK,16416,125154,
24891,"Fulton Bank, National Association",One Penn Square P.O.Box 4887,Lancaster,PA,7551,474919,
25304,"FundBank, National Association","301 Congress Avenue, Suite 1725",Austin,TX,59366,6009630,
5741,Gilmer National Bank,713 US Highway 271 North,Gilmer,TX,3219,323651,
13347,"GNBank, National Association","100 E. Forest, P. O. Box 67",Girard,KS,4673,928056,
18558,"Golden Bank, National Association",9315 Bellaire Boulevard,Houston,TX,26223,536059,
24671,"Goldwater Bank, National Association","2525 E Camelback Road, Suite 1100",Phoenix,AZ,58405,3592047,
6684,Grand Ridge National Bank,500 S. County Farm Road,Wheaton,IL,3674,875132,
25152,"Grasshopper Bank, National Association",261 Fifth Avenue,New York,NY,59113,5210989,
23049,Great Plains National Bank,2017 West Third,Elk City,OK,34207,2482824,
25332,Greenleaf Trust National Association,211 S. Rose Street,Kalamazoo,MI,34935,2938787,
13944,Greenville National Bank,446 South Broadway,Greenville,OH,13703,295011,
25053,"Guaranty Bank & Trust, National Association",100 W. Arkansas,Mt. Pleasant,TX,1208,112163,
20622,"Hana Bank USA, National Association",201 Main Street,Fort Lee,NJ,26790,609609,
14149,Haskell National Bank,601 North First Street,Haskell,TX,14399,170257,
14911,Hawaii National Bank,45 North King Street,Honolulu,HI,18296,915065,
23773,Heartland National Bank,320 U.S. Highway 27 North,Sebring,FL,35052,2800491,
15401,"Heritage Bank, National Association",120 South Street W.,Spicer,MN,19254,901358,
15698,Hiawatha National Bank,N1555 770th Street & Highway 35,Hager City,WI,13058,505550,
25255,"Hightower Trust Company, National Association","4400 Post Oak Parkway, Suite 2600",Houston,TX,59321,2597232,
15359,Hilltop National Bank,300 Country Club Road,Casper,WY,19184,1454,
25212,"Hinsdale Bank & Trust Company, National Association",25 East First Street,Hinsdale,IL,33849,2119773,
6635,HNB National Bank,100 North Main Street,Hannibal,MO,4540,908553,
25106,"Home Bank, National Association",503 Kaliste Saloom Road,Lafayette,LA,28094,929978,
9815,Home National Bank,502 Elm Street,Racine,OH,6680,79127,
18763,Home State Bank / National Association,40 Grant Street,Crystal Lake,IL,12815,696430,
15593,"Hometown Bank, National Association",1801 45th Street,Galveston,TX,19603,393953,
2503,Hometown National Bank,260 Bucklin Street,LA Salle,IL,3691,770639,
24522,"HSBC Bank USA, National Association",1800 Tysons Boulevard,Tysons,VA,57890,413208,
24601,"HSBC Trust Company (Delaware), National Association","300 Delaware Avenue, Suite 1401",Wilmington,DE,58188,3357620,
11443,"INB, National Association",322 East Capitol Avenue,Springfield,IL,3664,925037,
12190,"Incommons Bank, National Association",301 East Commerce,Mexia,TX,3342,414858,
24440,"Industrial and Commercial Bank of China (USA), NA",1185 Avenue of the Americas,New York,NY,24387,1015560,
25275,"Inspire Trust Company, National Association",241 Ridge Street,Reno,NV,59349,5805488,
18283,"Intercredit Bank, National Association",396 Alhambra Circle,Coral Gables,FL,25258,44433,
2782,"Intrust Bank, National Association",105 N. Main,Wichita,KS,4799,557858,
25185,"Investar Bank, National Association",7244 Perkins Road,Baton Rouge,LA,58316,3449066,
15292,Inwood National Bank,7621 Inwood Road,Dallas,TX,19080,913753,
8,"JPMorgan Chase Bank, National Association",1111 Polaris Parkway,Columbus,OH,628,852218,
14330,Junction National Bank,701 Main Street,Junction,TX,15078,741152,
6544,"Keen Bank, National Association",101 North State Street,Waseca,MN,5270,837354,
25051,Key National Trust Company of Delaware,1105 North Market Street,Wilmington,DE,59069,4368351,
